,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
878,R-Ladies Glasgow,Glasgow,United Kingdom,Europe,61,https://www.meetup.com/rladies-glasgow/,24-06-2020,2,0,public,12-03-2021
879,R-Ladies Brasília,Brasília,Brazil,Latin America,13,https://www.meetup.com/rladies-brasilia/,21-03-2021,0,0,public,01-01-1970
880,R-Ladies Cordoba,Córdoba,Argentina,Latin America,32,https://www.meetup.com/rladies-cordoba/,14-05-2020,3,0,public,07-12-2020
881,R-Ladies General Pico,General Pico,Argentina,Latin America,63,https://www.meetup.com/rladies-general-pico/,14-03-2020,5,0,public,03-10-2020
882,R-Ladies Kuala Lumpur,Kuala Lumpur,Malaysia,Asia,14,https://www.meetup.com/rladies-kuala-lumpur/,23-11-2020,0,0,public,01-01-1970
883,R-Ladies Ha Noi,Ha Noi,Vietnam,Asia,45,https://www.meetup.com/rladies-ha-noi/,16-02-2020,0,0,public,01-01-1970
884,R-Ladies Aguascalientes,Aguascalientes,Mexico,Latin America,318,https://www.meetup.com/rladies-aguascalientes/,22-02-2020,5,0,public,24-11-2020
885,R-Ladies Tijuana,Tijuana,Mexico,Latin America,48,https://www.meetup.com/rladies-tijuana/,24-08-2020,2,0,public,25-09-2020
886,R-Ladies Concepción,Concepción,Chile,Latin America,543,https://www.meetup.com/rladies-concepcion/,16-04-2019,36,0,public,03-06-2021
887,R-Ladies Guadalajara,Guadalajara,Mexico,Latin America,664,https://www.meetup.com/rladies-guadalajara/,15-08-2020,5,0,public,26-03-2021
888,R-Ladies Athens Greece,Athens,Greece,Europe,12,https://www.meetup.com/rladies-athens-gr/,21-03-2021,0,0,public,01-01-1970
889,R-Ladies Talca,Talca,Chile,Latin America,173,https://www.meetup.com/rladies-talca/,14-05-2020,11,0,public,03-06-2021
890,R-Ladies Bogotá,Bogotá,Colombia,Latin America,309,https://www.meetup.com/rladies-bogota/,22-09-2017,9,0,public,06-05-2021
