Session,Title,Speaker,Talk_Type,YouTube,Materials
Machine Learning and Statistics,KeOps: Seamless Kernel Operations on GPU without memory overflows,"B. Charlier, G. Durif",regular,https://youtu.be/5DDd_88fJH0,https://drive.google.com/file/d/1WfuypnWU9yS3zHXRyJqgsqzaykYTRN9P/view?usp=sharing
Machine Learning and Statistics,Extending flexmix to model-based clustering with sparse data,Bettina Grün,lightning,https://youtu.be/pwzCoHl8QMQ,https://drive.google.com/file/d/1O0sNbYqNofBCN-f0UcQcID9mWzum5H4T/view?usp=sharing
Machine Learning and Statistics,How to simplify Machine Learning workflows specifications?,Anton Antonov,lightning,https://youtu.be/b9Uu7gRF5KY,https://drive.google.com/file/d/1k9MYSCUllY1OcxYEz4ZM567w0udIBG-m/view?usp=sharing
Machine Learning and Statistics,mlr3hyperband: Multi-Fidelity Hyperparameter Optimization with R,Sebastian Gruber,poster,https://youtu.be/mB7M6LWIeKM,https://drive.google.com/file/d/1Bn6YVOBbW3crZwn2QqejOtvPuSIk5kAJ/view?usp=sharing
Machine Learning and Statistics,Towards Trustworthy Machine Learning: Debugging with Expert Knowledge,Helena Kotthaus,poster,https://youtu.be/7JHRkL5921g,https://drive.google.com/file/d/1smSXg34N3GjSD5NUFYsJbe7IdeC_j4Ja/view?usp=sharing
Programming,A method for deriving information from running R code,Mark van der Loo,regular,https://youtu.be/55sP4ytE1uc,https://drive.google.com/file/d/1gJnqWVemtLjwoJjCc9s2kAD2bhWKEZwe/view?usp=sharing
Programming,A Risk-based Assessment for R Package Accuracy,"Andy Nicholls, Juliane Manitz",regular,https://youtu.be/WUVUjdqifJ8,https://drive.google.com/file/d/1KNZBDlLiK8oQZSPizxJTftZOr9zGsXo1/view?usp=sharing
Programming,Arbitrary precision linear algebra in R using RcppEigen and BH,Max Turgeon,regular,https://youtu.be/4jarvGZ9s9k,https://drive.google.com/file/d/1mhaSxY9QxIYlvG7nMfcuvW8td0gUb3cK/view?usp=sharing
Programming,Flexibility in routines by using s4 classes: calculating habitat conservation status as an example,Els Lommelen,regular,https://youtu.be/hdsHbVDviYA,https://drive.google.com/file/d/1-C2wBnjIzvBME0-XyYzkpPylqx3L99GG/view?usp=sharing
Programming,How fastR can help R package developers,Stepan Sindelar,regular,https://youtu.be/xtHOI4M2KXk,https://drive.google.com/file/d/12nT6JXH9QjuT5iinh781kgqy_LmZ4fjP/view?usp=sharing
Programming,The Current State and Future Prospects of Encoding Support in R,Tomas Kalibera,regular,https://youtu.be/J9lraMP1ono,https://drive.google.com/file/d/1RXkenqvYfAvuL5hZR7GMnErmzmkEBu8J/view?usp=sharing
