Year,Speaker,Presentation_Type,Title,Keywords
2021,Maximilian Held,Regular talks,Bridging the Unproductive Valley: Building Data Products Strictly Without Magic,R in production
2021,Ursula Laa,Regular talks,New displays for the visualization of multivariate data in the tourr package,Data visualisation
2021,Peter Solymos,Regular talks,Data science serverless-style with R and OpenFaaS,R in production
2021,Philipp Thomann,Regular talks,plotVR - walk through your data,Data visualisation
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,An-Chi Ho,Regular talks,startR: A tool for large multi-dimensional data processing,"Ecology, Environmental sciences"
2021,Moritz N. Lang,Regular talks,Probability Distribution Forecasts: Learning with Random Forests and Graphical Assessment,Statistical models
2021,Vik Gopal,Regular talks,A semi-automatic grader for R scripts,"Reproducibility, Teaching R/R in Teaching"
2021,Timofey Samsonov,Regular talks,grwat: a new R package for automated separation and analysis of river hydrograph,"Ecology, Environmental sciences"
2021,François Rousset,Regular talks,"spaMM: an R package to fit generalized, linear, and mixed models allowing for complex covariance structures",Statistical models
2021,Rhian Davies,Regular talks,Automating bespoke online teaching with R,"Reproducibility, Teaching R/R in Teaching"
2021,Liam Daniel Bailey,Regular talks,Using R6 object-oriented programming to build agent-based models,"Ecology, Environmental sciences"
2021,Alexandre Brouste,Regular talks,The one-step estimation procedure in R,Statistical models
2021,Christophe Dervieux,Regular talks,Extend the functionality of your R Markdown documents,"Reproducibility, Teaching R/R in Teaching"
2021,Núria Pérez-Zanón,Regular talks,Climate Forecast Analysis Tools Framework: from the storage to the HPC to get reproducible climate research results and services,"Ecology, Environmental sciences"
2021,Gherardo Varando,Regular talks,The R Package stagedtrees for Structural Learning of Stratified Staged Trees,Statistical models
2021,Patricia Martinkova,Regular talks,Computational aspects of psychometrics taught with R and Shiny,"Reproducibility, Teaching R/R in Teaching"
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,Janani Ravi,Regular talks,MolEvolvR: Web-app and R-package for characterizing proteins using molecular evolution and phylogeny,"Bioinformatics / Biomedical or health informatics, Biostatistics and Epidemiology, Data visualisation, Web Applications (Shiny/Dash)"
2021,Marcin Dubel,Regular talks,Shiny PoC to Production Application in 8 steps,R in production
2021,Jakub Wi?niewski,Regular talks,"fairmodels: A Flexible Tool For Bias Detection, Visualization, And Mitigation","Data mining / Machine learning / Deep Learning and AI, Multivariate analysis"
2021,Gergely Daroczi,Regular talks,Using R to Empower a Precision Dosing Web Application,"Bioinformatics / Biomedical or health informatics, Biostatistics and Epidemiology, Data visualisation, Web Applications (Shiny/Dash)"
2021,Alex Kahn Gold,Regular talks,Reliably Reproducible Project Packages,R in production
2021,"Philipp Bach, Malte S. Kurz",Regular talks,DoubleML - Double Machine Learning in R,"Data mining / Machine learning / Deep Learning and AI, Multivariate analysis"
2021,Nils Eling,Regular talks,Visualization of highly-multiplexed imaging data with cytomapper,"Bioinformatics / Biomedical or health informatics, Biostatistics and Epidemiology, Data visualisation, Web Applications (Shiny/Dash)"
2021,Iñaki Ucar,Regular talks,"Binary R Packages for Linux: Past, Present and Future",R in production
2021,Jian MA,Regular talks,copent: Estimating Copula Entropy and Transfer Entropy in R,"Data mining / Machine learning / Deep Learning and AI, Multivariate analysis"
2021,Ryan Copping,Regular talks,Sponsored Talk by Roche,"Bioinformatics / Biomedical or health informatics, Biostatistics and Epidemiology, Data visualisation, Web Applications (Shiny/Dash)"
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,Batool Almarzouq,Panels and incubators,Incubator: Expanding the R community in the Middle East and North Africa (MENA),Community and Outreach
2021,"Matthias Bannert, Janani Ravi",Panels and incubators,Incubator: Stop reinventing the wheel: R package(s) for conference and abstract management,R in production
2021,Aaron Jacobs,Regular talks,Production Metrics for R with the 'openmetrics' Package,"R in production, R in the wild (unusual applications of R)"
2021,"Virginia A. García Alonso, Paola Corrales, Claudia A. Huaylla, Andrea Gómez Vargas, Joselyn Chávez, Denisse Fierro Arcos",Regular talks,"Using R in Latin America: the great, the good, the bad, and the ugly",Community and Outreach
2021,Jouni Helske,Regular talks,bssm: Bayesian Inference of Non-linear and Non-Gaussian State Space Models in R,"Bayesian models, Social sciences, Statistical models, Time series"
2021,Frans van Dunné,Regular talks,Automating business processes with R,"R in production, R in the wild (unusual applications of R)"
2021,Ben Ubah,Regular talks,r-community.org: a central community infrastructure for R,Community and Outreach
2021,Rachel Wilkerson,Regular talks,bnmonitor: Checking the Robustness and Sensitivity of Bayesian Networks,"Bayesian models, Social sciences, Statistical models, Time series"
2021,Patrick Schratz,Regular talks,RStudio Managed Workbench -,"R in production, R in the wild (unusual applications of R)"
2021,Riccardo Porreca,Regular talks,CovidR and rmdgallery: A streamlined process for collecting community contributions in a gallery website,Community and Outreach
2021,Vittorio Dominic Orlandi,Regular talks,FLAME: Interpretable Matching for Causal Inference,"Bayesian models, Social sciences, Statistical models, Time series"
2021,Joseph Rickert,Regular talks,A little bit about RStudio,"R in production, R in the wild (unusual applications of R)"
2021,Eric Nantz,Regular talks,How open-source and R enable state-of-the-art media production,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2020,Karan Bhanot,regular,Mortality Minder,Biostatistics
2020,Caitlin Simopoulos,regular,pepFunk: peptide-centric functional enrichment for metaproteomic gut microbiome data,Biostatistics
2020,Marcin Wolski,regular,rejustify AI-enhanced ETL engine,Biostatistics
2020,Isaac Subirana,lightning,Building descriptive tables with the updated compareGroups package,Biostatistics
2020,Kaitlyn O’Shea,lightning,MeningiOMICS,Biostatistics
2020,Alessio Maggiorelli,lightning,Methods of report generation in clinical trials using R and knitr,Biostatistics
2020,Lubomir Stepanek,lightning,Robust alternatives for comparing time-event survival curves with R,Biostatistics
2020,Sierra Davis,poster,Comparing the Treatment Regimen of Newly Diagnosed Pediatric Leukemia Patients,Biostatistics
2020,Lazarus Mramba,poster,MUACz: An R Package for Generating MUAC and BMI z-scores and Percentiles for Children and Adolescents,Biostatistics
2020,Laura Acion,regular,Communities of practice in Latin America: R and Friends,Community
2020,"Rick Pack, Ben Ubah",regular,R community explorer: the state of R,Community
2020,Tom Mock,regular,Tidy Tuesday: Scaffolding for a Community of Practice,Community
2020,Diego Kozlowski,poster,Improving open data accessibility through package development and community work,Community
2020,Toshihiro Umehara,regular,DataSailr package enables intuitive row by row data manipulation,Data Management
2020,Konrad Siek,regular,Larger-than-memory R,Data Management
2020,Parfait Gasana,regular,PostgreSQL As A Data Science Database,Data Management
2020,Scott Chamberlain,regular,staypuft: object validation and serialization,Data Management
2020,Emil Hvitfeldt,regular,themis: dealing with imbalanced data by using synthetic oversampling,Data Management
