Year,Speaker,Presentation_Type,Title,Keywords
2019,Raluca Gui,full,REndo: An R Package to Address Endogeneity Without External Instrumental Variables,Models 2
2019,Anne Helby Petersen,full,Discovering the cause: Tools for structure learning in R,Models 2
2019,"Norman Matloff, Tiffany Jiang, Wenxuan Zhao, Robert Tucker",full,prVis: a Novel Method for Visual Dimension Reduction,Big/high dimensional data
2019,Benoit Liquet,full,PLS for Big Data: A Unified Parallel Algorithm for Regularized Group PLS,Big/high dimensional data
2019,Sarah Romanes,full,multiDA and genDA: Discriminant analysis methods for large scale and complex datasets,Big/high dimensional data
2019,Daniel Schalk,full,compboost: Fast and Flexible Component-Wise Boosting Framework,Big/high dimensional data
2019,Robin Genuer,full,How to speed-up VSURF (Variable Selection Using Random Forests)?,Big/high dimensional data
2019,Rezgar Arabzadeh,full,Application of WRSS in Water and Energy Analysis; An object oriented R package for large-scale water resources operation,Applications 1
2019,Emanuele Cordano,full,An R Package for the Distributed Hydrological Model GEOtop,Applications 1
2019,Friedrich-Claus Grueber,full,Big data analysis for power plant operational data for optimizing engineering design in R / Shiny,Applications 1
2019,Priyanga Dilini Talagala,full,Anomaly Detection in R,Applications 1
2019,Daniel Grose,full,Collective and Point Anomaly Detection in R,Applications 1
2019,Mitchell O'Hara-Wild,full,Flexible futures for fable functionality,Forecasting
2019,Thiyanga Talagala,full,Feature-based Time Series Forecasting,Forecasting
2019,"Benjamin Goehry, Hui Yan",full,Random forests for time series,Forecasting
2019,Ivan Svetunkov,full,Smooth forecasting in R,Forecasting
2019,Eran Raviv,full,Forecast Combination in R,Forecasting
2019,Matthias Bannert,full,"timeseriesdb - Manage, Process and Archive Time Series with R and PostgreSQL",Time series data
2019,Rob Hyndman,full,A feast of time series tools,Time series data
2019,Christoph Sax,full,tsbox: Class-Agnostic Time Series,Time series data
2019,Alain Quartier-La-Tente,full,RJDemetra: an R interface to JDemetra+ seasonal adjustment software,Time series data
2019,Steffen Moritz,full,Experiences from dealing with missing values in sensor time series data,Time series data
2019,Kenia Wiedemann,full,Mathematical Modeling with R: Embedding Computational Thinking into High School Math Classes in the United States,Education
2019,Irene Steves,full,Teaching data science with puzzles,Education
2019,Alethea Rea,full,Teaching R and statistics to higher degree research students and industry professionals,Education
2019,Colin Rundel,full,ghclass: an R package for managing classes with GitHub,Education
2019,Mine Cetinkaya-Rundel,full,Data Science in a Box,Education
2019,Dennis Irorere,full,R for Data Science Online Community,Communities & conferences
2019,Laura Acion,full,Insights from the recent R community development and growth in Latin America,Communities & conferences
2019,"Dennis Irorere, Shel Kariuki",full,AfricaR,Communities & conferences
2019,"Noa Tamir, Colin Gillespie, Riva Quiroga, Vincent Warmerdam",full,"The truth about satRdays (panel session, part 1)",Communities & conferences
2019,"Noa Tamir, Colin Gillespie, Riva Quiroga, Vincent Warmerdam",full,"The truth about satRdays (panel session, part 2)",Communities & conferences
2019,"Jakub Nowosad, Robin Lovelace",full,How to win friends and write an open-source book,Contribution & collaboration
2019,Ioannis Kosmidis,full,Making sense of CRAN: Package and collaboration networks,Contribution & collaboration
2019,Patrice Kiener,full,RWsearch: a package for CRAN users and task view maintainers,Contribution & collaboration
2019,Riva Quiroga,full,"Translating datasets using \datalang\: the development of \datos\ package for the R4DS Spanish translation",Contribution & collaboration
2019,Joseph Rickert,full,R Consortium Working Groups,Contribution & collaboration
2019,Fabien Llobell,full,ClustBlock: a package for clustering datasets,Multivariate analysis
2019,Margot Selosse,full,ordinalClust: an R package for analyzing ordinal data.,Multivariate analysis
2019,Amandine Schmutz,full,"funHDDC, a R package to cluster univariate and multivariate functional data",Multivariate analysis
2019,Maikol Solís,full,Using the package `simple features` (sf) for sensitivity analysis,Multivariate analysis
2019,Michael Friendly,full,Visualizing multivariate linear models in R,Multivariate analysis
2019,Thibaut Jombart,full,Reproducible data science to support outbreak responses: experience from the North Kivu Ebola outbreak,Biostatistics & epidemiology 1
2019,Zhian N. Kamvar,full,Advancing data analytics for field epidemiologists using R: the R4epis innovation project,Biostatistics & epidemiology 1
2019,Vincent Audigier,full,micemd: a smart multiple imputation R package for missing multilevel data,Biostatistics & epidemiology 1
2019,Iryna Schlackow,full,Facilitating external use with user-friendly interfaces: a health policy model case study,Biostatistics & epidemiology 1
2019,Torben Tvedebrink,full,genogeographer - a tool for ancestry informative markers,Biostatistics & epidemiology 1
2019,Alessio Crippa,full,Implementation and analysis design of an adaptive-outcome trial in R,Biostatistics & epidemiology 2
2019,"Christian Ritz, Jens C. Streibig",full,Advances in dose-response analysis,Biostatistics & epidemiology 2
2019,Terry Therneau,full,The next generation of the survival package,Biostatistics & epidemiology 2
2019,Jesse Islam,full,A flexible approach to time-to-event data analysis using case-base sampling,Biostatistics & epidemiology 2
2019,Antonio Gasparrini,full,The R package mixmeta: an extended mixed-effects framework for meta-analysis,Biostatistics & epidemiology 2
2019,Vincent Guyader,full,Golem : A Framework for Building Robust & Production Ready Shiny Apps,Shiny 2
2019,Kelly Obriant,full,Art of the Feature Toggle: Patterns for maintaining and improving Shiny applications over time,Shiny 2
2019,"Alexandra Turcan, Ruan Pearce-Authers",full,Data for all: Empowering teams with scalable Shiny applications,Shiny 2
2019,Filip Stachura,full,Best practices for building Shiny enterprise applications,Shiny 2
2019,Francois Michonneau,full,How a non-profit uses R for its daily operations,Operations & data products
2019,Daan Seynaeve,full,rjenkins and rrundeck: Coordinating Continuous Integration and Delivery with R,Operations & data products
2019,Kelly Obriant,full,Advanced Git Integrations for Automating the Delivery of Reproducible Data Products in R,Operations & data products
2019,"Verena Held, Max Held",full,GitHub actions for R,Operations & data products
2019,Peter Jaksons,full,Using AI and R to help improve the quality and health of your personalised food basket.,Applications 2
2019,Sarah N. Musy,full,Variation of patient turnover on a 30-minutes basis for 3 years: analysis of routine data of a Swiss University Hospital,Applications 2
2019,Hyesop Shin,full,Bridging agent-based modelling and R with nlrx: simulating pedestrian's long-term exposure to air pollution,Applications 2
2019,Hae-Yoon Jung,full,Simulation of the physical movement for Machine Learning with R: Simulation of Robot gait Optimization Using GA,Applications 2
2019,Tomas Kalibera,full,Sustainable Package Development,Programming 2
2019,Elie Canonici Merle,full,Typing R,Programming 2
2019,Perry De Valpine,full,nCompiler: C++ code-generation from R code,Programming 2
2019,Zbynek Slajchrt,full,Mixed interactive debugging of R and native code with FastR and Vistual Studio Code,Programming 2
2019,Frédéric Vanwindekens,full,Visualisation of open-ended interviews through qualitative coding and cognitive mapping,"Social science, marketing & business"
2019,Chris Chapman,full,choicetools: a package for conjoint analysis and best-worst surveys,"Social science, marketing & business"
2019,Andreas Alfons,full,Robust mediation analysis using the R package robmed,"Social science, marketing & business"
2019,Gert Janssenswillen,full,propro: Enhancing Discovered Process Models using Bayesian Inference and MCMC,"Social science, marketing & business"
2019,Alessandro Gasparini,full,Analysing results from Monte Carlo simulation studies using the rsimsum package and the INTEREST shiny app,Numerical methods
2019,Robert Crouchley,full,Algorithmic Differentiation in R using the RcppEigenAD package,Numerical methods
2019,Richard Fitzjohn,full,"Describing and solving differential equations with a new domain specific language, odin",Numerical methods
2019,Rocio Joo,full,Navigating through the R packages for movement,Movement & transport
2019,Mohammad Mehdi Moradi,full,"Classes, methods and data analysis for trajectories",Movement & transport
2019,Christine Thomas-Agnan,full,Modelling spatial flows with R,Movement & transport
2019,Robin Lovelace,full,R for Transport Planning,Movement & transport
2019,Emmanuel Blondel,full,Strengthening of R in support of spatial data infrastructures management: geometa and ows4R packages,Spatial data & maps
2019,Ege Rubak,full,Resample-smoothing of Voronoi intensity estimators,Spatial data & maps
2019,Timothée Giraud,full,"Thematic mapping with \cartography\",Spatial data & maps
2019,Edwin de Jonge,full,Creating privacy protecting density maps: sdcSpatial,Spatial data & maps
2019,Quentin Fazilleau,full,Package flextable: a grammar to produce tabular reporting from R,Reproducibility
2019,Leah Welty,full,Connecting R/R Markdown and Microsoft Word using StatTag for Collaborative Reproducibility,Reproducibility
2019,Sébastien Rochette,full,"The \Rmd first\ method: when projects start with the documentation",Reproducibility
2019,Peter Baker,full,R gnumaker: easy Makefile construction for enhancing reproducible research,Reproducibility
2019,Achim Zeileis,full,colorspace: A Toolbox for Manipulating and Assessing Color Palettes,Visualisation
2019,Ian Lyttle,full,Vegawidget: Composing and Rendering Interactive Vega(-Lite) Charts,Visualisation
2019,Ursula Laa,full,Visualising high-dimensional data: new developments of the tourr package using Shiny and plotly,Visualisation
2019,Jim Harner,full,xstatR: an Environment for Running R and XLISP-STAT in Docker Containers,Visualisation
2019,Marijke Van Moerbeke,full,Multi-data learning with M-ABC: extending your ABC's,Bioinformatics 1
2019,Toby Hocking,full,Fast and Optimal Peak Detection in Large Genomic Data via the PeakSegDisk Package,Bioinformatics 1
2019,Guillaume Devailly,full,PEREpigenomics: a shiny app to visualize Roadmap Epigenomics data,Bioinformatics 1
2019,Vahid Nassiri,full,clustDRM: an R package and Shiny app for modeling high- throughput dose-response data,Bioinformatics 1
2019,Michael Lawrence,full,"Interfacing R/Bioconductor with Hail, a Spark-based platform for genomics",Bioinformatics 2
2019,Federico Marini,full,iSEE: interactive and reproducible exploration and visualization of genomics data,Bioinformatics 2
2019,Pol Castellano-Escuder,full,POMA: Shiny tool for targeted metabolomic data statistical analysis and visualization,Bioinformatics 2
2018,Jono Tuke,Lightning talk,Pachinko prediction,"models, data mining"
2018,Elvina Viennet,Lightning talk,Uncertainty and sensitivity analyses: application to modelling the reproduction number of an infectious disease,"models, performance"
2018,Mark Wohlers,Lightning talk,Deep Learning with Keras R to model Spectral Data,"algorithms, models"
2018,Saras Windecker,Lightning talk,The zoon R package for reproducible and shareable species distribution modelling,"models, reproducibility, community/education"
2018,Stephanie Kobakian,Lightning talk,taipan: Woman faces machine,image analysis
2018,Saskia Freytag,Lightning talk,Can interactive shiny tools transform biological research?,"web app, bioinformatics, interfaces"
2018,Roberts Jessie,Lightning talk,Visualising Uncertainty for Decision Makers,"web app, bioinformatics, interfaces"
2018,Chen Amy Tzu-Yu,Lightning talk,Shiny - New York Pre-Kindergarten Explorer,NA
2018,Yan Holtz,Lightning talk,Getting rich quick with R & Cryptocurrencies?,"applications, streaming data"
2018,Ozan Cinar,Lightning talk,poolR: Combining Dependent p-values,bioinformatics
2018,Tamal Kumar De,Lightning talk,Handling Missing Data in Single-Case Experiments,"community/education, simulation, single-case, missing data"
2018,Dennis Wollersheim,Lightning talk,What can you do with drugs?  Exploring Pharmaceutical Benefit Scheme prescription drug usage using R,"visualisation, algorithms, models, databases, big data"
2018,Laurent Thibault,Lightning talk,npbr: A Package for Nonparametric Boundary Regression in R,nonparametric statistics
2018,Robert King,Lightning talk,R's early growth: easy dissemination of new stats,history
2018,Pearse Alan Ryou,Lightning talk,Exploiting the natural structure of a large spatial dataset to cut down on processing time: an example from the Great Barrier Reef,history
2018,Maschette Dale,Lightning talk,Round peg in a square hole: making Southern Ocean maps,NA
2018,Sparks Adam H.,Lightning talk,Establishing a community for supporting and fostering adoption of reproducible research using R,NA
2018,Shinichi Takayanagi,Poster lightning,How LINE Corp Use R to Compete in a Data-Driven World,"applications, reproducibility, Practical use of R language in business"
2018,Mahmoud Ahmed,Poster lightning,"pcr: an R package for quality assessment, analysis and testing of qPCR data","bioinformatics, data-access"
2018,Miles McBain,Poster lightning,An R pipeline for creating and hosting collaborative Web VR environments.,"visualisation, space/time"
2018,Kim Ki-Yeol,Poster lightning,Squamous cell carcinoma analysis with R,bioinformatics
2018,Erika Siregar,Poster lightning,AnalevR: An Interactive R-Based Analysis Environment for Utilizing BPS-Statistics Indonesia Data,"visualisation, web app, community/education, networks, big data, analysis, collaboration, cloud computing, analysis as a service, bps, statistics Indonesia, analysis environment, remote data analysis"
2018,Yan Holtz,Poster lightning,From Data to Viz,"visualisation, community/education"
2018,Goknur Giner,Poster lightning,Pathway-VisualiseR,"visualisation, web app, community/education, bioinformatics, networks, Bioconductor"
2018,Edgar Santos-Fernandez,Poster lightning,ActisoftR: a toolbox for processing and visualizing scored actigraphy data.,"visualisation, applications, space/time"
2018,Hannah Coughlan,Poster lightning,Integration and visualisation of high throughput genomics data with R,"visualisation, bioinformatics"
2018,Vipavee Trivittayasil,Poster lightning,MovingBubbles : Animated d3 bubble chart,visualisation
2018,Nicholas Spyrison,Poster lightning,spinifex: visulizing local structure of higher dimensions,"visualisation, community/education"
2018,Motoyuki Oki,Poster lightning,Time Series Digger : Automatic time series analysis for data science in R,"visualisation, data mining, space/time"
2018,Volha Tryputsen,Poster lightning,Antibody characterization with next generation sequencing using Group My Abs shiny app,"visualisation, algorithms, models, data mining, applications, web app, reproducibility, bioinformatics"
2018,Gabriel Domingo,Poster lightning,Use of R in Antitrust: The case of the Philippine Competition Commission,"visualisation, models, applications, reproducibility, community/education, Antitrust"
2018,Adam Gruer,Poster lightning,Using R and Process Control Charts to Help Hospital Management See The Woods For The Trees,visualisation
2018,Sharon Lee,Poster lightning,Shiny EMMIXskew for symmetric and asymmetric mixture modelling,"visualisation, algorithms, models, data mining, applications, web app, multivariate"
2018,Alan Pearse,Poster lightning,SSNDesign -- An R Package for Optimal Designs on Spatial Stream Networks,"models, experimental design; optimal design; spatial stream networks"
2018,Tatiana Marci,Poster lightning,Using Factor Mixture Analysis in Developmental Psychology: An Application to Research on Parent-child Attachment,"applications, Factor Mixture Analysis, heterogeneous populations"
2018,Gi-Seop Lee,Poster lightning,Evaluations of the machine learning models in the coastal habitat classification,"applications, multivariate, performance"
2018,Koji Makiyama,Poster lightning,Magic Functions to Obtain Results from 'for' Loops in R,interfaces
2018,Yuya Matsumura,Poster lightning,Easy Writing of Bayesian Optimizaion for Macine Learning,"models, performance, big data"
2018,Jeremy Forbes,Poster lightning,Using Australian census data to describe electorates' socio-economic profiles at the time of a federal election.,"models, reproducibility, community/education"
2018,Jessica Bagnall,Poster lightning,Analysing the voting patterns of the Senate of the 45th Australian Parliament via fully-visible Boltzmann machines,"algorithms, models, applications, networks"
2018,Florian Schwendinger,Poster lightning,Readability Prediction in R,"models, applications, text analysis/NLP"
2018,Aswi Aswi,Poster lightning,Comparison of different Bayesian spatio-temporal models using R packages,"models, applications, space/time, CARBayesST"
2018,Janek Thomas,Poster lightning,Automatic gradient boosting,"algorithms, models, data mining, Automatic Machine Learning"
2018,Awdhesh Yadav,Poster lightning,Household and Community factor on under-five mortality in India: An application of multilevel cox proportional hazard model,"multivariate, big data"
2018,Jean-Michel Perraud,Poster lightning,A suite of R packages for hydrological ensemble forecasting using Rcpp,"space/time, performance, big data, Hydrology, forecast"
2018,Susanna Cramb,Poster lightning,Bayesian disease mapping in R,"models, space/time"
2018,Rosemary Putler,Poster lightning,Analysis of EHR Data and Circulating Inflammatory Mediators: Association with Severe Clostridium difficile Infection,"models, applications, bioinformatics"
2018,Stuart Davie,Poster lightning,A data driven approach to generating and scoring B2B leads,"visualisation, models, applications"
2018,Shinichi Takayanagi,Poster,How LINE Corp Use R to Compete in a Data-Driven World,"applications, reproducibility, Practical use of R language in business"
2018,Mahmoud Ahmed,Poster,"pcr: an R package for quality assessment, analysis and testing of qPCR data","bioinformatics, data-access"
2018,Miles McBain,Poster,An R pipeline for creating and hosting collaborative Web VR environments.,"visualisation, space/time"
2018,Kim Ki-Yeol,Poster,Squamous cell carcinoma analysis with R,bioinformatics
2018,Erika Siregar,Poster,AnalevR: An Interactive R-Based Analysis Environment for Utilizing BPS-Statistics Indonesia Data,"visualisation, web app, community/education, networks, big data, analysis, collaboration, cloud computing, analysis as a service, bps, statistics Indonesia, analysis environment, remote data analysis"
2018,Yan Holtz,Poster,From Data to Viz,"visualisation, community/education"
2018,Goknur Giner,Poster,Pathway-VisualiseR,"visualisation, web app, community/education, bioinformatics, networks, Bioconductor"
2018,Edgar Santos-Fernandez,Poster,ActisoftR: a toolbox for processing and visualizing scored actigraphy data.,"visualisation, applications, space/time"
2018,Hannah Coughlan,Poster,Integration and visualisation of high throughput genomics data with R,"visualisation, bioinformatics"
2018,Vipavee Trivittayasil,Poster,MovingBubbles : Animated d3 bubble chart,visualisation
2018,Nicholas Spyrison,Poster,spinifex: visulizing local structure of higher dimensions,"visualisation, community/education"
2018,Motoyuki Oki,Poster,Time Series Digger : Automatic time series analysis for data science in R,"visualisation, data mining, space/time"
2018,Volha Tryputsen,Poster,Antibody characterization with next generation sequencing using Group My Abs shiny app,"visualisation, algorithms, models, data mining, applications, web app, reproducibility, bioinformatics"
2018,Gabriel Domingo,Poster,Use of R in Antitrust: The case of the Philippine Competition Commission,"visualisation, models, applications, reproducibility, community/education, Antitrust"
2018,Adam Gruer,Poster,Using R and Process Control Charts to Help Hospital Management See The Woods For The Trees,visualisation
2018,Sharon Lee,Poster,Shiny EMMIXskew for symmetric and asymmetric mixture modelling,"visualisation, algorithms, models, data mining, applications, web app, multivariate"
2018,Alan Pearse,Poster,SSNDesign -- An R Package for Optimal Designs on Spatial Stream Networks,"models, experimental design; optimal design; spatial stream networks"
2018,Tatiana Marci,Poster,Using Factor Mixture Analysis in Developmental Psychology: An Application to Research on Parent-child Attachment,"applications, Factor Mixture Analysis, heterogeneous populations"
2018,Gi-Seop Lee,Poster,Evaluations of the machine learning models in the coastal habitat classification,"applications, multivariate, performance"
2018,Koji Makiyama,Poster,Magic Functions to Obtain Results from 'for' Loops in R,interfaces
2018,Yuya Matsumura,Poster,Easy Writing of Bayesian Optimizaion for Macine Learning,"models, performance, big data"
2018,Jeremy Forbes,Poster,Using Australian census data to describe electorates' socio-economic profiles at the time of a federal election.,"models, reproducibility, community/education"
2018,Jessica Bagnall,Poster,Analysing the voting patterns of the Senate of the 45th Australian Parliament via fully-visible Boltzmann machines,"algorithms, models, applications, networks"
2018,Florian Schwendinger,Poster,Readability Prediction in R,"models, applications, text analysis/NLP"
2018,Aswi Aswi,Poster,Comparison of different Bayesian spatio-temporal models using R packages,"models, applications, space/time, CARBayesST"
2018,Janek Thomas,Poster,Automatic gradient boosting,"algorithms, models, data mining, Automatic Machine Learning"
2018,Awdhesh Yadav,Poster,Household and Community factor on under-five mortality in India: An application of multilevel cox proportional hazard model,"multivariate, big data"
2018,Jean-Michel Perraud,Poster,A suite of R packages for hydrological ensemble forecasting using Rcpp,"space/time, performance, big data, Hydrology, forecast"
2018,Susanna Cramb,Poster,Bayesian disease mapping in R,"models, space/time"
2018,Rosemary Putler,Poster,Analysis of EHR Data and Circulating Inflammatory Mediators: Association with Severe Clostridium difficile Infection,"models, applications, bioinformatics"
2018,Stuart Davie,Poster,A data driven approach to generating and scoring B2B leads,"visualisation, models, applications"
2018,Richard Layton,Applications in society,"Data, methods, and metrics for studying student persistence","applications, community/education, persistence metrics, intersectionality, longitudinal"
2018,Maria Holcekova,Applications in society,The dynamic approach to inequality: Using longitudinal trajectories of young women and their parents in determining their socio-economic positions within the contemporary Western society,"visualisation, clustering, imputation, longitudinal data analysis"
2018,Frank C.S. Liu,Applications in society,The Second Wing of Polls: How Multiple Correspondence Analysis using R Advances Exploring Associated Attitudes in Smaller-Data,applications
2018,Meryam Krit,Applications in society,Modelling Rift Valley Fever,"models, applications, community/education"
2018,Miguel Gonzalez-Fierro,Big data,Spark on demand with AZTK,big data
2018,Benjamin Ortiz Ulloa,Big data,Graphs: Datastructures to Query,"algorithms, models, databases, networks, text analysis/NLP, big data"
2018,Amy Stringer,Big data,Automated Visualisations for Big Data,"visualisation, reproducibility, big data"
2018,Snehalata Huzurbazar,Big data,Visualizations to guide dimension reduction for sparse high-dimensional data,visualisation
2018,Florian Rohart,Stat methods for high-dim biology,mixOmics: An R package for 'omics feature selection and multiple data integration,"data mining, applications, bioinformatics, multivariate, big data"
2018,Claus Thorn Ekstrøm,Stat methods for high-dim biology,"Using mommix for fast, large-scale genome-studies in the presence of gene-environment and gene-gene interaction","algorithms, models, bioinformatics, big data"
2018,Jacob Bergstedt,Stat methods for high-dim biology,?Quantifying the immune system with the MMI package,"models, data mining, applications, reproducibility, bioinformatics, interfaces"
2018,Rudradev Sengupta,Stat methods for high-dim biology,High Performance Computing Using R for High Dimensional Surrogacy Applications in Drug Development,"models, data mining, applications, bioinformatics, performance, big data"
2018,Kasey Jones,Robust methods,rollmatch: An R Package for Rolling Entry Matching,"algorithms, models"
2018,Charles T. Gray,Robust methods,varameta': Meta-analysis of medians,"algorithms, models, applications, reproducibility"
2018,Sevvandi Kandanaarachchi,Robust methods,Does normalizing your data affect outlier detection?,"algorithms, Data pre-processing"
2018,Priyanga Dilini Talagala,Robust methods,oddstream and stray: Anomaly Detection in Streaming Temporal Data with R,"algorithms, space/time, multivariate, streaming data, outlier detection"
2018,John Blischak,Reproducibility,The workflowr R package: a framework for reproducible and collaborative data science,reproducibility
2018,Peter Baker,Reproducibility,Efficient data analysis and reporting: DRY workflows in R,"applications, reproducibility"
2018,Filip Krikava,Reproducibility,Automated unit test generation using genthat,"reproducibility, testing"
2018,Dan Wilson,Reproducibility,Practical R Workflows,"reproducibility, workflow"
2018,Matt Moores,Spatial data and modeling,bayesImageS: an R package for Bayesian image analysis,"algorithms, applications, space/time"
2018,Jin Li,Spatial data and modeling,A new R package for spatial predictive modelling: spm,"models, data mining, reproducibility, space/time, performance, spatial predictive models; hybrid methods of geostatistics and machine learning; model selection and validation; predictive accuracy"
2018,Daniel Fryer,Spatial data and modeling,rcosmo: Statistical Analysis of the Cosmic Microwave Background,"visualisation, databases, space/time, big data, new R package"
2018,Marek Rogala,Spatial data and modeling,Using deep learning on Satellite imagery to get a business edge,"visualisation, algorithms, models, applications, web app, Satellite data"
2018,Steph de Silva,Keynote,"Beyond syntax, towards culture: the potentiality of deep open source communities",NA
2018,Thomas Lin Pedersen,Keynote,The Grammar of Animation,NA
2018,Bill Venables,Keynote,Adventures with R: Two stories of analyses and a new perspective on data,NA
2018,Mark Padgham,Applications in health and environment,tRansport tools for the World (Health Organization),"applications, reproducibility, community/education, space/time, big data"
2018,Philip Dyer,Applications in health and environment,"Models of global marine biodiversity: an exercise in mixing R markdown, parallel processing and caching on supercomputers","models, applications, reproducibility, performance, big data"
2018,Chris Hansen,Applications in health and environment,Enabling Analysts: Embracing R in a National Statistics Office,Official Statistics
2018,Tracy Huang,Applications in health and environment,Developing an Uncertainty Toolbox for Agriculture: a closer look at Sensitivity Analysis,"visualisation, applications, web app, space/time, big data, R6 and Reference Classes"
2018,Zachary Foster,Models and methods for biology and beyond,"Taxa and metacoder:  R packages for parsing, visualization, and manipulation of taxonomic data","visualisation, data mining, applications, databases, bioinformatics, Taxonomy"
2018,Saswati Saha,Models and methods for biology and beyond,Multiple testing approaches for evaluating the effectiveness of a drug combination in a multiple-dose factorial design.,"applications, multivariate, Factorial Design, Drug Combination"
2018,Bill Lattner,Models and methods for biology and beyond,Modeling Heterogeneous Treatment Effects with R,"models, applications"
2018,Shian Su,Models and methods for biology and beyond,Glimma: interactive graphics for gene expression analysis,"visualisation, applications, bioinformatics"
2018,Francois Michonneau,Learning and teaching,Lessons learned from developing R-based curricula across disciplines,community/education
2018,Matthias Gehrke,Learning and teaching,Student Performance and Acceptance of Technology in a Statistics Course Based on R mosaic - Results from a Pre- and Post-Test Survey,"community/education, teaching"
2018,Mette Langaas,Learning and teaching,Teaching statistics - with all learning resources written in R Markdown,"community/education, teaching"
2018,Chester Ismay,Data handling,Statistical Inference: A Tidy Approach using R,"visualisation, community/education, statistical inference, tidyverse community"
2018,Thomas Lumley,Data handling,Subsampling and one-step polishing for generalised linear models,"algorithms, models, databases, big data"
2018,James Hester,Data handling,Glue strings to data in R,Package development
2018,Max Kuhn,Data handling,Data Preprocessing using Recipes,"algorithms, models"
2018,John Fox,Statistical modeling,New Features in the car and effects Packages,"visualisation, models"
2018,Rainer Hirk,Statistical modeling,mvord: An R Package for Fitting Multivariate Ordinal Regression Models,"algorithms, models, applications, multivariate"
2018,Joachim Schwarz,Statistical modeling,Partial Least Squares with formative constructs and a binary target variable,"PLS, pslpm package, formative constructs, binary target variable"
2018,Murray Cameron,Statistical modeling,Exceeding the designer's expectation,"algorithms, models, applications"
2018,David Cooley,Better data performance,"Starting with geospatial data in Shiny, and knowing when to stop","visualisation, databases, web app, performance, spatial"
2018,Jeffrey O. Hanson,Better data performance,prioritizr: Systematic conservation prioritization in R,"reproducibility, space/time, performance, conservation"
2018,Remy Gavard,Better data performance,Using R to pre-process ultra-high-resolution mass spectrometry data of complex mixtures.,"algorithms, applications"
2018,Joshua Bon,Better data performance,Semi-infinite programming in R,"algorithms, models"
2018,Simon Jackson,R in the community,R from academia to commercial business,"applications, community/education, big data, industry, skill development"
2018,Joseph Rickert,R in the community,"Connecting R to the Good Stuff","algorithms, models, applications, big data, interfaces"
2018,Lisa Chen,R in the community,Using R to help industry clients – The benefits and Opportunities,"visualisation, algorithms, models, data mining, applications, web app, reproducibility, multivariate, networks, performance, text analysis/NLP, big data"
2018,Jonathan Carroll,Community and education,Volunteer Vignettes; A Case-Study in Enhancing Documentation,"applications, reproducibility, community/education, documentation"
2018,Robin Hankin,Community and education,Special and general relativity in R,"visualisation, community/education, space/time"
2018,Sam Clifford,Community and education,Classes without dependencies,community/education
2018,Le Zhang,Scalable R,Build scalable Shiny applications for employee attrition prediction on Azure cloud,"visualisation, models, data mining, applications, web app, reproducibility, performance"
2018,Bryan Galvin,Scalable R,Moving from Prototype to Production in R: A Look Inside the Machine Learning Infrastructure at Netflix,"data mining, reproducibility, performance, big data, interfaces"
2018,Jason Gasper,Scalable R,Integrating R into a production data environment: A case example of using Oracle database services and R for fisheries management in Alaska.,"applications, databases, reproducibility"
2018,Paul Murrell,Visualisation,The Minard Paradox,visualisation
2018,Natalia da Silva,Visualisation,Interactive Graphics for Visually Diagnosing Forest Classifiers in R,"visualisation, data mining, web app"
2018,Chun Fung (Jackson) Kwok,Visualisation,Rjs: Going hand in hand with Javascript,"visualisation, interfaces, JavaScript"
2018,Hong Ooi,Complex models and performance,"SAR: a practical, rating-free hybrid recommender for large data","algorithms, models, applications, big data"
2018,Fang Zhou,Complex models and performance,Jumpstart Machine Learning with Pre-Trained Models,"algorithms, models, reproducibility, interfaces"
2018,Stepan Sindelar,Complex models and performance,FastR: an alternative R language implementation,"applications, performance, R implementations"
2018,Momeneh (Sepideh) Foroutan,"Genomics, signatures to single cells",Singscore: a single-sample gene-set scoring method for analysing molecular signatures,"visualisation, applications, bioinformatics"
2018,Liam Crowhurst,"Genomics, signatures to single cells",scIVA: Single Cell Interactive Visualisation and Analysis,"visualisation, data mining, web app, reproducibility, bioinformatics, big data"
2018,Sarah Williams,"Genomics, signatures to single cells",Celaref: Annotating single-cell RNAseq clusters by similarity to reference datasets,"applications, bioinformatics"
2018,Luke Zappia,"Genomics, signatures to single cells",clustree: a package for producing clustering trees using ggraph,"visualisation, algorithms, data mining, bioinformatics"
2018,Ilia Karmanov,Data mining,Teach yourself deep-learning with R,"visualisation, algorithms, models, Deep Neural Nets, CNNs, MLPs, Machine Learning"
2018,Angus Taylor,Data mining,Deep learning at scale with Azure Batch AI,"algorithms, models, Deep learning"
2018,Timothy Wong,Data mining,Modelling Field Operation Capacity using Generalised Additive Model and Random Forest,"algorithms, models, multivariate, big data"
2018,Bernd Bischl,Data mining,iml: A new Package for Model-Agnostic Interpretable Machine Learning,"algorithms, models, machine learning"
2018,Bachmann Patrick,Simulation and modeling focus on surv anal,Estimating individual Customer Lifetime Values with R: The CLVTools Package,models
2018,Sam Brilleman,Simulation and modeling focus on surv anal,simsurv: A Package for Simulating Simple or Complex Survival Data,"models, simulation; survival analysis"
2018,Raju Rimal,Simulation and modeling focus on surv anal,R-package for simulating linear model data (simrel),"models, applications, web app, multivariate, interfaces, Simulation"
2018,Andrés Villegas,Simulation and modeling focus on surv anal,StMoMo: An R Package for Stochastic Mortality Modelling,"models, applications"
